iso_code,year,iso_week,week_start,week_end,sCh,deaths,source,confidence_weight,disaggregation_method
GIN,2022,35,2022-08-29,2022-09-04,0.0,0.0,JHU,0.9,zero_fill
GIN,2022,36,2022-09-05,2022-09-11,0.0,0.0,JHU,0.9,zero_fill
GIN,2022,37,2022-09-12,2022-09-18,0.0,0.0,JHU,0.9,zero_fill
GIN,2022,38,2022-09-19,2022-09-25,0.0,0.0,JHU,0.9,zero_fill
GIN,2022,39,2022-09-26,2022-10-02,0.0,0.0,JHU,0.9,zero_fill
GIN,2022,40,2022-10-03,2022-10-09,0.0,0.0,JHU,0.9,zero_fill
GIN,2022,41,2022-10-10,2022-10-16,0.0,0.0,JHU,0.9,zero_fill
GIN,2022,42,2022-10-17,2022-10-23,0.0,0.0,JHU,0.9,zero_fill
GIN,2022,43,2022-10-24,2022-10-30,0.0,0.0,JHU,0.9,zero_fill
GIN,2022,44,2022-10-31,2022-11-06,0.0,0.0,JHU,0.9,zero_fill
GIN,2022,45,2022-11-07,2022-11-13,0.0,0.0,JHU,0.9,zero_fill
GIN,2022,46,2022-11-14,2022-11-20,0.0,0.0,JHU,0.9,zero_fill
GIN,2022,47,2022-11-21,2022-11-27,0.0,0.0,JHU,0.9,zero_fill
GIN,2022,48,2022-11-28,2022-12-04,0.0,0.0,JHU,0.9,zero_fill
GIN,2022,49,2022-12-05,2022-12-11,0.0,0.0,JHU,0.9,zero_fill
GIN,2022,50,2022-12-12,2022-12-18,0.0,0.0,JHU,0.9,zero_fill
GIN,2022,51,2022-12-19,2022-12-25,0.0,0.0,JHU,0.9,zero_fill
GIN,2022,52,2022-12-26,2023-01-01,0.0,0.0,JHU,0.9,zero_fill
GIN,2023,1,2023-01-02,2023-01-08,0.0,0.0,JHU,0.9,observed
GIN,2023,2,2023-01-09,2023-01-15,0.0,0.0,JHU,0.9,observed
GIN,2023,3,2023-01-16,2023-01-22,0.0,0.0,JHU,0.9,observed
GIN,2023,4,2023-01-23,2023-01-29,0.0,0.0,JHU,0.9,observed
GIN,2023,5,2023-01-30,2023-02-05,0.0,0.0,JHU,0.9,observed
GIN,2023,6,2023-02-06,2023-02-12,0.0,0.0,JHU,0.9,observed
GIN,2023,7,2023-02-13,2023-02-19,0.0,0.0,JHU,0.9,observed
GIN,2023,8,2023-02-20,2023-02-26,0.0,0.0,JHU,0.9,observed
GIN,2023,9,2023-02-27,2023-03-05,0.0,0.0,JHU,0.9,observed
GIN,2023,10,2023-03-06,2023-03-12,0.0,0.0,JHU,0.9,observed
GIN,2023,11,2023-03-13,2023-03-19,0.0,0.0,JHU,0.9,observed
GIN,2023,12,2023-03-20,2023-03-26,0.0,0.0,JHU,0.9,observed
GIN,2023,13,2023-03-27,2023-04-02,0.0,0.0,JHU,0.9,observed
GIN,2023,14,2023-04-03,2023-04-09,0.0,0.0,JHU,0.9,observed
GIN,2023,15,2023-04-10,2023-04-16,0.0,0.0,JHU,0.9,observed
GIN,2023,16,2023-04-17,2023-04-23,0.0,0.0,JHU,0.9,observed
GIN,2023,17,2023-04-24,2023-04-30,0.0,0.0,JHU,0.9,observed
GIN,2023,18,2023-05-01,2023-05-07,0.0,0.0,JHU,0.9,observed
GIN,2023,19,2023-05-08,2023-05-14,0.0,0.0,JHU,0.9,observed
GIN,2023,20,2023-05-15,2023-05-21,0.0,0.0,JHU,0.9,observed
GIN,2023,21,2023-05-22,2023-05-28,0.0,0.0,JHU,0.9,observed
GIN,2023,22,2023-05-29,2023-06-04,0.0,0.0,JHU,0.9,observed
GIN,2023,23,2023-06-05,2023-06-11,0.0,0.0,JHU,0.9,observed
GIN,2023,24,2023-06-12,2023-06-18,0.0,0.0,JHU,0.9,observed
GIN,2023,25,2023-06-19,2023-06-25,0.0,0.0,JHU,0.9,observed
GIN,2023,26,2023-06-26,2023-07-02,0.0,0.0,JHU,0.9,observed
GIN,2023,27,2023-07-03,2023-07-09,0.0,0.0,JHU,0.9,observed
GIN,2023,28,2023-07-10,2023-07-16,0.0,0.0,JHU,0.9,observed
GIN,2023,29,2023-07-17,2023-07-23,0.0,0.0,JHU,0.9,observed
GIN,2023,30,2023-07-24,2023-07-30,0.0,0.0,JHU,0.9,observed
GIN,2023,31,2023-07-31,2023-08-06,0.0,0.0,JHU,0.9,observed
GIN,2023,32,2023-08-07,2023-08-13,0.0,0.0,JHU,0.9,observed
GIN,2023,33,2023-08-14,2023-08-20,0.0,0.0,JHU,0.9,observed
GIN,2023,34,2023-08-21,2023-08-27,0.0,0.0,JHU,0.9,observed
GIN,2023,35,2023-08-28,2023-09-03,0.0,0.0,JHU,0.9,observed
GIN,2023,36,2023-09-04,2023-09-10,0.0,0.0,JHU,0.9,observed
GIN,2023,37,2023-09-11,2023-09-17,0.0,0.0,JHU,0.9,observed
GIN,2023,38,2023-09-18,2023-09-24,0.0,0.0,JHU,0.9,observed
GIN,2023,39,2023-09-25,2023-10-01,0.0,0.0,JHU,0.9,observed
GIN,2023,40,2023-10-02,2023-10-08,0.0,0.0,JHU,0.9,observed
GIN,2023,41,2023-10-09,2023-10-15,0.0,0.0,JHU,0.9,observed
GIN,2023,42,2023-10-16,2023-10-22,0.0,0.0,JHU,0.9,observed
GIN,2023,43,2023-10-23,2023-10-29,0.0,0.0,JHU,0.9,observed
GIN,2023,44,2023-10-30,2023-11-05,0.0,0.0,JHU,0.9,observed
GIN,2023,45,2023-11-06,2023-11-12,0.0,0.0,JHU,0.9,observed
GIN,2023,46,2023-11-13,2023-11-19,0.0,0.0,JHU,0.9,observed
GIN,2023,47,2023-11-20,2023-11-26,0.0,0.0,JHU,0.9,observed
GIN,2023,48,2023-11-27,2023-12-03,0.0,0.0,JHU,0.9,observed
GIN,2023,49,2023-12-04,2023-12-10,0.0,0.0,JHU,0.9,observed
GIN,2023,50,2023-12-11,2023-12-17,0.0,0.0,JHU,0.9,observed
GIN,2023,51,2023-12-18,2023-12-24,0.0,0.0,JHU,0.9,observed
GIN,2023,52,2023-12-25,2023-12-31,0.0,0.0,JHU,1.0,zero_fill
GIN,2024,1,2024-01-01,2024-01-07,0.0,0.0,JHU,0.9,observed
GIN,2024,2,2024-01-08,2024-01-14,0.0,0.0,JHU,0.9,observed
GIN,2024,3,2024-01-15,2024-01-21,0.0,0.0,JHU,0.9,observed
GIN,2024,4,2024-01-22,2024-01-28,0.0,0.0,JHU,0.9,observed
GIN,2024,5,2024-01-29,2024-02-04,0.0,0.0,JHU,0.9,observed
GIN,2024,6,2024-02-05,2024-02-11,0.0,0.0,JHU,0.9,observed
GIN,2024,7,2024-02-12,2024-02-18,0.0,0.0,JHU,0.9,observed
GIN,2024,8,2024-02-19,2024-02-25,0.0,0.0,JHU,0.9,observed
GIN,2024,9,2024-02-26,2024-03-03,0.0,0.0,JHU,0.9,observed
GIN,2024,10,2024-03-04,2024-03-10,0.0,0.0,JHU,0.9,observed
GIN,2024,11,2024-03-11,2024-03-17,0.0,0.0,JHU,0.9,observed
GIN,2024,12,2024-03-18,2024-03-24,0.0,0.0,JHU,0.9,observed
GIN,2024,13,2024-03-25,2024-03-31,0.0,0.0,JHU,0.9,observed
GIN,2024,14,2024-04-01,2024-04-07,0.0,0.0,JHU,0.9,zero_fill
GIN,2024,15,2024-04-08,2024-04-14,0.0,0.0,JHU,0.9,zero_fill
GIN,2024,16,2024-04-15,2024-04-21,0.0,0.0,JHU,0.9,zero_fill
GIN,2024,17,2024-04-22,2024-04-28,0.0,0.0,JHU,0.9,zero_fill
GIN,2024,18,2024-04-29,2024-05-05,0.0,0.0,JHU,0.9,zero_fill
GIN,2024,19,2024-05-06,2024-05-12,0.0,0.0,JHU,0.9,zero_fill
GIN,2024,20,2024-05-13,2024-05-19,0.0,0.0,JHU,0.9,zero_fill
GIN,2024,21,2024-05-20,2024-05-26,0.0,0.0,JHU,0.9,zero_fill
GIN,2024,22,2024-05-27,2024-06-02,0.0,0.0,JHU,0.9,zero_fill
GIN,2024,23,2024-06-03,2024-06-09,0.0,0.0,JHU,0.9,zero_fill
GIN,2024,24,2024-06-10,2024-06-16,0.0,0.0,JHU,0.9,zero_fill
GIN,2024,25,2024-06-17,2024-06-23,0.0,0.0,JHU,0.9,zero_fill
GIN,2024,26,2024-06-24,2024-06-30,0.0,0.0,JHU,0.9,zero_fill
GIN,2024,27,2024-07-01,2024-07-07,0.0,0.0,JHU,0.9,zero_fill
GIN,2024,28,2024-07-08,2024-07-14,0.0,0.0,JHU,0.9,observed
GIN,2024,29,2024-07-15,2024-07-21,0.0,0.0,JHU,0.9,observed
GIN,2024,30,2024-07-22,2024-07-28,0.0,0.0,JHU,0.9,observed
GIN,2024,31,2024-07-29,2024-08-04,0.0,0.0,JHU,0.9,observed
GIN,2024,32,2024-08-05,2024-08-11,0.0,0.0,JHU,0.9,observed
GIN,2024,33,2024-08-12,2024-08-18,0.0,0.0,JHU,0.9,observed
GIN,2024,34,2024-08-19,2024-08-25,0.0,0.0,JHU,0.9,observed
GIN,2024,35,2024-08-26,2024-09-01,0.0,0.0,JHU,0.9,observed
GIN,2024,36,2024-09-02,2024-09-08,0.0,0.0,JHU,0.9,observed
GIN,2024,37,2024-09-09,2024-09-15,0.0,0.0,JHU,0.9,observed
GIN,2024,38,2024-09-16,2024-09-22,0.0,0.0,JHU,0.9,observed
GIN,2024,39,2024-09-23,2024-09-29,0.0,0.0,JHU,0.9,observed
GIN,2024,40,2024-09-30,2024-10-06,0.0,0.0,JHU,1.0,zero_fill
GIN,2024,41,2024-10-07,2024-10-13,0.0,0.0,JHU,1.0,zero_fill
GIN,2024,42,2024-10-14,2024-10-20,0.0,0.0,JHU,1.0,zero_fill
GIN,2024,43,2024-10-21,2024-10-27,0.0,0.0,JHU,1.0,zero_fill
GIN,2024,44,2024-10-28,2024-11-03,0.0,0.0,JHU,1.0,zero_fill
GIN,2024,45,2024-11-04,2024-11-10,0.0,0.0,JHU,1.0,zero_fill
GIN,2024,46,2024-11-11,2024-11-17,0.0,0.0,JHU,1.0,zero_fill
GIN,2024,47,2024-11-18,2024-11-24,0.0,0.0,JHU,1.0,zero_fill
GIN,2024,48,2024-11-25,2024-12-01,0.0,0.0,JHU,1.0,zero_fill
GIN,2024,49,2024-12-02,2024-12-08,0.0,0.0,JHU,1.0,zero_fill
GIN,2024,50,2024-12-09,2024-12-15,0.0,0.0,JHU,1.0,zero_fill
GIN,2024,51,2024-12-16,2024-12-22,0.0,0.0,JHU,1.0,zero_fill
GIN,2024,52,2024-12-23,2024-12-29,0.0,0.0,JHU,1.0,zero_fill
GIN,2025,1,2024-12-30,2025-01-05,0.0,0.0,JHU,1.0,zero_fill
GIN,2025,2,2025-01-06,2025-01-12,0.0,0.0,AI,0.85,zero_fill
GIN,2025,3,2025-01-13,2025-01-19,0.0,0.0,AI,0.85,zero_fill
GIN,2025,4,2025-01-20,2025-01-26,0.0,0.0,AI,0.85,zero_fill
GIN,2025,5,2025-01-27,2025-02-02,0.0,0.0,AI,0.85,zero_fill
GIN,2025,6,2025-02-03,2025-02-09,0.0,0.0,AI,0.85,zero_fill
GIN,2025,7,2025-02-10,2025-02-16,0.0,0.0,AI,0.85,zero_fill
GIN,2025,8,2025-02-17,2025-02-23,0.0,0.0,AI,0.85,zero_fill
GIN,2025,9,2025-02-24,2025-03-02,0.0,0.0,AI,0.85,zero_fill
GIN,2025,10,2025-03-03,2025-03-09,0.0,0.0,AI,0.85,zero_fill
GIN,2025,11,2025-03-10,2025-03-16,0.0,0.0,AI,0.85,zero_fill
GIN,2025,12,2025-03-17,2025-03-23,0.0,0.0,AI,0.85,zero_fill
GIN,2025,13,2025-03-24,2025-03-30,0.0,0.0,AI,0.85,zero_fill
GIN,2025,14,2025-03-31,2025-04-06,0.0,0.0,AI,0.85,zero_fill
GIN,2025,15,2025-04-07,2025-04-13,0.0,0.0,AI,0.85,zero_fill
GIN,2025,16,2025-04-14,2025-04-20,0.0,0.0,AI,0.85,zero_fill
GIN,2025,17,2025-04-21,2025-04-27,0.0,0.0,AI,0.85,zero_fill
GIN,2025,18,2025-04-28,2025-05-04,0.0,0.0,AI,0.85,zero_fill
GIN,2025,19,2025-05-05,2025-05-11,0.0,0.0,AI,0.85,zero_fill
GIN,2025,20,2025-05-12,2025-05-18,0.0,0.0,AI,0.85,zero_fill
